,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
0,Maruti,2014,450000,145500,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5
1,Skoda,2014,370000,120000,Diesel,Individual,Manual,Second Owner,21.14,1498.0,103.52,5
2,Honda,2006,158000,140000,Petrol,Individual,Manual,Third Owner,17.7,1497.0,78.0,5
3,Hyundai,2010,225000,127000,Diesel,Individual,Manual,First Owner,23.0,1396.0,90.0,5
4,Maruti,2007,130000,120000,Petrol,Individual,Manual,First Owner,16.1,1298.0,88.2,5
5,Hyundai,2017,440000,45000,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5
6,Maruti,2007,96000,175000,LPG,Individual,Manual,First Owner,17.3,1061.0,57.5,5
7,Maruti,2001,45000,5000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4
8,Toyota,2011,350000,90000,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.1,5
9,Ford,2013,200000,169000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.1,5
10,Renault,2014,500000,68000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5
11,Maruti,2005,92000,100000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5
12,Maruti,2009,280000,140000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5
13,Maruti,2009,180000,90000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5
14,Mahindra,2016,400000,40000,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,5
15,Maruti,2016,778000,70000,Diesel,Individual,Manual,Second Owner,24.52,1248.0,88.5,7
16,Hyundai,2012,500000,53000,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,5
17,Maruti,2002,150000,80000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5
18,Hyundai,2016,680000,100000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5
19,Mahindra,2011,174000,100000,Diesel,Individual,Manual,Second Owner,21.0,1461.0,64.1,5
20,Honda,2017,950000,50000,Diesel,Individual,Manual,First Owner,25.5,1498.0,98.6,5
21,Maruti,2015,525000,40000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5
22,Maruti,2012,600000,72000,Diesel,Individual,Manual,First Owner,21.5,1248.0,88.8,5
23,Tata,2018,500000,35000,Petrol,Individual,Manual,First Owner,20.3,1199.0,83.81,5
24,Maruti,2016,575000,45000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5
25,Maruti,2017,275000,28000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5
26,Chevrolet,2013,300000,70000,Diesel,Individual,Manual,First Owner,18.2,1248.0,73.8,7
27,Maruti,2009,220000,120000,Petrol,Individual,Manual,First Owner,18.9,1061.0,67.0,5
28,Maruti,2018,254999,25000,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,8
29,Maruti,2017,670000,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5
30,Maruti,2012,150000,35000,Petrol,Individual,Manual,Second Owner,14.0,796.0,35.0,5
31,Hyundai,2018,730000,2388,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5
32,Maruti,2017,650000,16200,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5
33,Maruti,2019,330000,10000,CNG,Individual,Manual,Second Owner,33.44,796.0,40.3,4
34,Maruti,2019,366000,15000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.1,5
35,Hyundai,2019,1149000,5000,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5
36,Datsun,2016,150000,42000,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5
37,Tata,2011,425000,60000,Diesel,Individual,Manual,Second Owner,13.93,2179.0,138.03,7
38,Maruti,2012,150000,76000,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,4
39,Jeep,2019,2100000,5000,Petrol,Individual,Automatic,First Owner,16.0,1368.0,160.77,5
40,Honda,2018,925000,28900,Petrol,Dealer,Manual,First Owner,17.8,1497.0,117.3,5
41,Honda,2013,425000,86300,Petrol,Dealer,Manual,First Owner,16.8,1497.0,116.3,5
42,Maruti,2018,675000,23300,Petrol,Dealer,Automatic,First Owner,18.5,1197.0,83.14,5
43,Maruti,2018,819999,32600,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5
44,Maruti,2018,390000,10300,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5
45,Toyota,2014,1500000,77000,Diesel,Dealer,Manual,First Owner,12.55,2982.0,168.5,7
46,Toyota,2013,700000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.0,7
47,Mercedes-Benz,2014,1450000,27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143.0,120.7,5
48,Honda,2015,425000,49800,Diesel,Dealer,Manual,First Owner,24.7,1498.0,98.63,5
49,Mitsubishi,2013,1090000,151000,Diesel,Dealer,Manual,First Owner,13.5,2477.0,175.56,7
50,Honda,2015,600000,54700,Diesel,Dealer,Manual,First Owner,26.0,1498.0,98.6,5
51,Maruti,2018,850000,64000,Petrol,Dealer,Manual,First Owner,20.65,1462.0,103.25,5
52,Honda,2015,525000,63000,Diesel,Dealer,Manual,First Owner,27.3,1498.0,98.6,5
53,Toyota,2016,1650000,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7
54,Toyota,2016,950000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.6,7
55,Audi,2013,1750000,33900,Diesel,Dealer,Automatic,Second Owner,17.68,1968.0,174.33,5
56,Toyota,2018,1590000,25000,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,5
57,Audi,2013,1689999,50000,Diesel,Dealer,Automatic,First Owner,18.53,1968.0,187.74,5
58,Mercedes-Benz,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,14.84,2143.0,170.0,5
59,Tata,2011,265000,120000,Diesel,Individual,Manual,First Owner,21.12,1248.0,88.8,5
60,Hyundai,2011,190000,110000,Petrol,Individual,Manual,Third Owner,20.36,1197.0,78.9,5
61,Hyundai,2013,425000,60000,Diesel,Individual,Manual,First Owner,21.27,1396.0,88.76,5
62,Maruti,2015,630000,147000,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74.0,5
63,Ford,2017,600000,25000,Petrol,Individual,Manual,Third Owner,18.16,1196.0,86.8,5
64,Maruti,2019,650000,30000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5
65,Volkswagen,2016,540000,40000,Diesel,Individual,Manual,First Owner,22.0,1498.0,108.495,5
